organism_a,organism_b,metric,n_a,n_b,u_stat,p_value,significant_raw,significant_bonferroni,note
Caenorhabditis_elegans,Dictyostelium_discoideum,shannon_entropy,7,41,249.0,0.0010727556093603897,True,True,bonferroni_alpha=0.0050 across 10 comparisons
Caenorhabditis_elegans,Eremothecium_coryli,shannon_entropy,7,19,0.0,3.040437823046519e-06,True,True,bonferroni_alpha=0.0050 across 10 comparisons
Caenorhabditis_elegans,Neurospora_crassa,shannon_entropy,7,21,85.0,0.5677848721326982,False,False,bonferroni_alpha=0.0050 across 10 comparisons
Caenorhabditis_elegans,Yarrowia_lipolytica,shannon_entropy,7,6,0.0,0.0011655011655011655,True,True,bonferroni_alpha=0.0050 across 10 comparisons
Dictyostelium_discoideum,Eremothecium_coryli,shannon_entropy,41,19,0.0,6.34226548216685e-10,True,True,bonferroni_alpha=0.0050 across 10 comparisons
Dictyostelium_discoideum,Neurospora_crassa,shannon_entropy,41,21,345.0,0.20613536285361667,False,False,bonferroni_alpha=0.0050 across 10 comparisons
Dictyostelium_discoideum,Yarrowia_lipolytica,shannon_entropy,41,6,0.0,1.862618303037381e-07,True,True,bonferroni_alpha=0.0050 across 10 comparisons
Eremothecium_coryli,Neurospora_crassa,shannon_entropy,19,21,266.0,0.07384997829416654,False,False,bonferroni_alpha=0.0050 across 10 comparisons
Eremothecium_coryli,Yarrowia_lipolytica,shannon_entropy,19,6,0.0,1.1293054771315642e-05,True,True,bonferroni_alpha=0.0050 across 10 comparisons
Neurospora_crassa,Yarrowia_lipolytica,shannon_entropy,21,6,42.0,0.2388703084355258,False,False,bonferroni_alpha=0.0050 across 10 comparisons
Caenorhabditis_elegans,Dictyostelium_discoideum,kmer_diversity,7,41,9.0,2.55333925708041e-06,True,True,bonferroni_alpha=0.0050 across 10 comparisons
Caenorhabditis_elegans,Eremothecium_coryli,kmer_diversity,7,19,19.0,0.004490726664639708,True,True,bonferroni_alpha=0.0050 across 10 comparisons
Caenorhabditis_elegans,Neurospora_crassa,kmer_diversity,7,21,13.0,0.0005540353366440323,True,True,bonferroni_alpha=0.0050 across 10 comparisons
Caenorhabditis_elegans,Yarrowia_lipolytica,kmer_diversity,7,6,6.0,0.03496503496503496,True,False,bonferroni_alpha=0.0050 across 10 comparisons
Dictyostelium_discoideum,Eremothecium_coryli,kmer_diversity,41,19,662.0,1.5433459370330474e-05,True,True,bonferroni_alpha=0.0050 across 10 comparisons
Dictyostelium_discoideum,Neurospora_crassa,kmer_diversity,41,21,669.0,0.0004002201285244836,True,True,bonferroni_alpha=0.0050 across 10 comparisons
Dictyostelium_discoideum,Yarrowia_lipolytica,kmer_diversity,41,6,213.0,0.0024541858760820535,True,True,bonferroni_alpha=0.0050 across 10 comparisons
Eremothecium_coryli,Neurospora_crassa,kmer_diversity,19,21,157.0,0.25531823723812774,False,False,bonferroni_alpha=0.0050 across 10 comparisons
Eremothecium_coryli,Yarrowia_lipolytica,kmer_diversity,19,6,114.0,1.1293054771315642e-05,True,True,bonferroni_alpha=0.0050 across 10 comparisons
Neurospora_crassa,Yarrowia_lipolytica,kmer_diversity,21,6,84.0,0.2388703084355258,False,False,bonferroni_alpha=0.0050 across 10 comparisons
