Organism,Analysis,Record_Count,Weighted_GC_Percent,Unweighted_Mean_Record_GC_Percent,Median_Record_GC_Percent,Standard_Deviation,Minimum,Maximum,Range,Interquartile_Range,Coefficient_of_Variation_Percent,Ambiguous_Percent,N_Percent
Caenorhabditis elegans,All_FASTA_records,6,35.44135139520208,35.47312262249183,35.545823092165236,0.5458677213301767,34.59398168348393,36.20214404721226,1.6081623637283258,0.4661011445671619,1.5388206083218279,0.0,0.0
Caenorhabditis elegans,Main_chromosomes_only,6,35.44135139520208,35.47312262249183,35.545823092165236,0.5458677213301767,34.59398168348393,36.20214404721226,1.6081623637283258,0.4661011445671619,1.5388206083218279,0.0,0.0
Caenorhabditis elegans,Nuclear_genome_only,6,35.44135139520208,35.47312262249183,35.545823092165236,0.5458677213301767,34.59398168348393,36.20214404721226,1.6081623637283258,0.4661011445671619,1.5388206083218279,0.0,0.0
Neurospora crassa,All_FASTA_records,21,48.2333824132487,36.002677865109916,28.84715592888259,10.887903880991413,25.531019978969507,54.37424058323208,28.843220604262573,21.452430431407397,30.24192789709914,0.09920350593826957,0.09920350593826957
Neurospora crassa,Main_chromosomes_only,7,48.5381306212033,48.466858602880805,48.504876784942645,0.3992781906912043,47.73911004061865,48.8664726589331,1.12736261831445,0.4880786126957588,0.8238169384212406,0.09310958891109404,0.09310958891109404
Neurospora crassa,Nuclear_genome_only,20,48.25252422977882,35.99628800759429,28.30864640882821,11.170713282877704,25.531019978969507,54.37424058323208,28.843220604262573,21.54135108948787,31.032958955437216,0.0993602491455506,0.0993602491455506
Neurospora crassa,Organellar_records,1,36.130475015422576,36.130475015422576,36.130475015422576,0.0,36.130475015422576,36.130475015422576,0.0,0.0,0.0,0.0,0.0
Yarrowia lipolytica,All_FASTA_records,7,48.98561377676223,45.227577559215156,48.87422573154227,9.994736705767524,22.570212410799982,49.337911756817974,26.76769934601799,0.5492664224898576,22.098766383589094,0.0,0.0
Yarrowia lipolytica,Main_chromosomes_only,6,49.04736892066592,49.00380508395102,49.015194362861415,0.3010015035325843,48.64400181233798,49.337911756817974,0.6939099444799908,0.5102630630124239,0.6142410839666892,0.0,0.0
Yarrowia lipolytica,Nuclear_genome_only,6,49.04736892066592,49.00380508395102,49.015194362861415,0.3010015035325843,48.64400181233798,49.337911756817974,0.6939099444799908,0.5102630630124239,0.6142410839666892,0.0,0.0
Yarrowia lipolytica,Organellar_records,1,22.570212410799982,22.570212410799982,22.570212410799982,0.0,22.570212410799982,22.570212410799982,0.0,0.0,0.0,0.0,0.0
Dictyostelium discoideum,All_FASTA_records,39,22.432449974366275,26.90026499192197,27.108342197234464,5.004871292329932,17.182890855457227,35.95983005021244,18.77693919475521,9.300951626015493,18.605286207525737,0.06779660222483712,0.06779660222483712
Dictyostelium discoideum,Main_chromosomes_only,6,22.403626209992808,22.45842170499668,22.35432600891867,0.2974511881391062,22.18636154359102,22.891148605014948,0.7047870614239287,0.4443325385765782,1.3244527689714167,0.06817002303150405,0.06817002303150405
Dictyostelium discoideum,Nuclear_genome_only,39,22.432449974366275,26.90026499192197,27.108342197234464,5.004871292329932,17.182890855457227,35.95983005021244,18.77693919475521,9.300951626015493,18.605286207525737,0.06779660222483712,0.06779660222483712
Eremothecium coryli,All_FASTA_records,19,41.57813709754139,41.447603859065104,41.49048502228734,0.6777376634400781,39.54391661229877,42.529955494693596,2.9860388823948227,0.7320661390435532,1.6351672963884702,0.7197963173784439,0.7197963173784439
Eremothecium coryli,Nuclear_genome_only,19,41.57813709754139,41.447603859065104,41.49048502228734,0.6777376634400781,39.54391661229877,42.529955494693596,2.9860388823948227,0.7320661390435532,1.6351672963884702,0.7197963173784439,0.7197963173784439
