k,organism,unique_kmers,total_kmers,kmer_diversity,shannon_entropy
3,Caenorhabditis_elegans,64,100286399,6.381722809690275e-07,5.74220907015045
3,Neurospora_crassa,64,41061601,1.558633819465539e-06,5.986690990046593
3,Yarrowia_lipolytica,64,20500064,3.1219414729632063e-06,5.969862525285008
3,Dictyostelium_discoideum,64,34181829,1.8723398329562762e-06,5.225607076042161
3,Eremothecium_coryli,64,9029467,7.087904524154083e-06,5.92023644571888
4,Caenorhabditis_elegans,256,100286398,2.5526891493301015e-06,7.635997309629317
4,Neurospora_crassa,256,41061600,6.234535429695871e-06,7.964964757221336
4,Yarrowia_lipolytica,256,20500063,1.2487766501010266e-05,7.945793996801861
4,Dictyostelium_discoideum,256,34181828,7.489359550928639e-06,6.916646018247737
4,Eremothecium_coryli,256,9029466,2.835162123651609e-05,7.885090566793117
5,Caenorhabditis_elegans,1024,100286397,1.0210756699136375e-05,9.52684716227288
5,Neurospora_crassa,1024,41061599,2.4938142326118377e-05,9.935705485964437
5,Yarrowia_lipolytica,1024,20500062,4.9951068440671055e-05,9.918114797068238
5,Dictyostelium_discoideum,1024,34181827,2.9957439080128746e-05,8.591217363581638
5,Eremothecium_coryli,1024,9029465,0.00011340649750566617,9.848882428767155
