Scientific_Name,Input_File,Sequence_ID,Sequence_Description,Sequence_Type,Sequence_Length,A_Count,T_Count,G_Count,C_Count,N_Count,Other_Ambiguous_Count,Unexpected_Symbol_Count,Valid_ATGC_Length,GC_Count,GC_Percent_Valid_ATGC,GC_Percent_All_Bases,File_Size_Bytes,File_Size_MB,Duplicate_Sequence_ID
Caenorhabditis elegans,GCA_000002985.3_WBcel235_genomic.fna,BX284601.5,Caenorhabditis elegans chromosome I,chromosome,15072434,4835939,4848450,2692155,2695890,0,0,0,15072434,5388045,35.74767685166178,35.74767685166178,101526309,101.526309,False
Caenorhabditis elegans,GCA_000002985.3_WBcel235_genomic.fna,BX284602.5,Caenorhabditis elegans chromosome II,chromosome,15279421,4878209,4869734,2762246,2769232,0,0,0,15279421,5531478,36.20214404721226,36.20214404721226,101526309,101.526309,False
Caenorhabditis elegans,GCA_000002985.3_WBcel235_genomic.fna,BX284603.4,Caenorhabditis elegans chromosome III,chromosome,13783801,4444681,4423618,2466344,2449158,0,0,0,13783801,4915502,35.661440556200716,35.661440556200716,101526309,101.526309,False
Caenorhabditis elegans,GCA_000002985.3_WBcel235_genomic.fna,BX284604.4,Caenorhabditis elegans chromosome IV,chromosome,17493829,5711043,5730974,3017028,3034784,0,0,0,17493829,6051812,34.59398168348393,34.59398168348393,101526309,101.526309,False
Caenorhabditis elegans,GCA_000002985.3_WBcel235_genomic.fna,BX284605.5,Caenorhabditis elegans chromosome V,chromosome,20924180,6750403,6760297,3701405,3712075,0,0,0,20924180,7413480,35.430205628129755,35.430205628129755,101526309,101.526309,False
Caenorhabditis elegans,GCA_000002985.3_WBcel235_genomic.fna,BX284606.5,Caenorhabditis elegans chromosome X,chromosome,17718942,5747200,5734092,3117909,3119741,0,0,0,17718942,6237650,35.20328696826255,35.20328696826255,101526309,101.526309,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CM000150.2,"Dictyostelium discoideum AX4 chromosome 1, whole genome shotgun sequence",chromosome,4923596,1886024,1916833,560462,559670,607,0,0,4922989,1120132,22.753087605923962,22.750282517087104,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CM000151.3,"Dictyostelium discoideum AX4 chromosome 2, whole genome shotgun sequence",chromosome,8484197,3307645,3290612,938924,945099,1917,0,0,8482280,1884023,22.211280457612812,22.206261830082447,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CM000152.2,"Dictyostelium discoideum AX4 chromosome 3, whole genome shotgun sequence",chromosome,6357299,2473897,2465056,708201,707516,2629,0,0,6354670,1415717,22.27837165423224,22.269158647406705,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CM000153.2,"Dictyostelium discoideum AX4 chromosome 4, whole genome shotgun sequence",chromosome,5450249,2120734,2116333,601783,606297,5102,0,0,5445147,1208080,22.18636154359102,22.165592801356414,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CM000154.2,"Dictyostelium discoideum AX4 chromosome 5, whole genome shotgun sequence",chromosome,5125352,1983892,1985847,569939,577962,7712,0,0,5117640,1147901,22.4302803636051,22.39653003344941,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CM000155.2,"Dictyostelium discoideum AX4 chromosome 6, whole genome shotgun sequence",chromosome,3602379,1391169,1382596,411463,411979,5172,0,0,3597207,823442,22.891148605014948,22.858283373293037,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709156.1,"Dictyostelium discoideum AX4 chrUn_00010 genomic scaffold, whole genome shotgun sequence",unplaced,6581,2732,2065,877,907,0,0,0,6581,1784,27.108342197234464,27.108342197234464,34564986,34.564986,False
